0: 1,7,8
1: 2,0,8,9
2: 1,3,9,149
3: 2,4,10,11,149
4: 5,3,11,12
5: 4,6,12,13
6: 5,13,14
7: 17,18,0,8
8: 9,19,0,1,7,18
9: 8,19,1,2,20,149
10: 11,20,21,149,3
11: 10,21,3,4,12,22
12: 13,22,23,4,5,11
13: 12,23,5,6,14,24
14: 15,25,24,6,13
15: 14,25,26
16: 17,27,28
17: 7,18,16,28,29
18: 7,17,8,19,29,30
19: 8,9,18,20,30,31
20: 10,21,9,19,31,32
21: 10,11,20,22,32,33
22: 12,23,11,21,33,34
23: 12,13,22,24,34,35
24: 14,25,13,23,35,36
25: 14,15,24,26,36,37
26: 15,25,37,38
27: 40,41,16,28
28: 29,42,16,17,27,41
29: 28,42,43,17,18,30
30: 31,44,18,19,29,43
31: 30,44,45,19,20,32
32: 33,46,20,21,31,45
33: 32,46,21,22,34,47
34: 35,47,48,22,23,33
35: 34,48,23,24,36,49
36: 37,50,49,25,24,35
37: 36,50,25,26,38,51
38: 39,52,51,26,37
39: 38,52
40: 27,41,53
41: 27,40,28,42,53,147
42: 28,29,43,41,55,147
43: 29,42,30,44,55,56
44: 30,31,45,43,56,57
45: 31,44,32,46,57,58
46: 32,33,45,47,58,59
47: 34,48,33,46,59,60
48: 34,35,47,49,60,61
49: 36,50,35,48,61,62
50: 36,37,49,51,62,63
51: 38,52,37,50,63,64
52: 38,39,51,64,65
53: 66,67,40,41,54,147
54: 55,68,147,53,67
55: 54,69,68,147,42,43,56
56: 57,145,43,44,55,69
57: 56,145,71,44,45,58
58: 59,72,45,46,57,71
59: 58,72,46,47,60,73
60: 61,73,74,47,48,59
61: 60,74,48,49,62,75
62: 63,76,75,50,49,61
63: 62,76,50,51,64,77
64: 65,78,77,52,51,63
65: 64,78,52,79
66: 53,67,80
67: 53,66,54,68,80,81
68: 54,55,69,67,81,82
69: 55,68,56,145,70,82,83
70: 145,71,69,83,84
71: 57,145,70,58,72,85
72: 58,59,71,73,85,86
73: 60,74,59,72,86,87
74: 60,61,73,75,87,88
75: 62,76,61,74,88,89
76: 62,63,75,77,89,90
77: 64,78,63,76,90,91
78: 64,65,77,79,91,92
79: 65,78,92
80: 93,94,66,67,81
81: 82,146,67,68,80,94
82: 81,95,69,68,83,96
83: 84,96,97,69,70,82
84: 83,97,70,85,98
85: 86,98,99,71,72,84
86: 85,99,72,73,87,100
87: 88,100,101,73,74,86
88: 87,101,74,75,89,102
89: 90,103,102,76,75,88
90: 89,103,76,77,91,104
91: 92,105,104,78,77,90
92: 91,105,78,79
93: 80,94,106
94: 80,93,81,146,106,107
95: 82,146,96,107,108
96: 83,97,82,95,108,109
97: 83,84,96,98,109,110
98: 85,99,84,97,110,111
99: 85,86,98,100,111,112
100: 87,101,86,99,112,113
101: 87,88,100,102,113,114
102: 89,103,88,101,114,115
103: 89,90,102,104,115,116
104: 91,105,90,103,116,117
105: 91,92,104,117
106: 118,93,94,107
107: 108,119,94,146,95,106,118
108: 107,119,120,95,96,109
109: 110,121,96,97,108,120
110: 109,121,122,97,98,111
111: 112,123,98,99,110,122
112: 111,123,124,99,100,113,148
113: 114,148,100,101,112
114: 113,148,125,101,102,115,126
115: 116,126,144,103,102,114
116: 115,144,103,104,117
117: 128,105,104,116
118: 106,107,119
119: 107,108,120,118,129
120: 108,119,109,121,129,130
121: 109,110,122,120,130,131
122: 110,121,111,123,131,132
123: 111,112,124,122,132,133
124: 112,123,148,125,133,134
125: 114,148,124,126,134,135
126: 115,127,114,125,135
127: 126,144,128,136,137
128: 117,127,144,137
129: 119,120,130
130: 131,138,120,121,129
131: 130,138,139,121,122,132
132: 133,140,122,123,131,139
133: 132,140,123,124,134,141
134: 135,141,142,124,125,133
135: 134,142,125,126,136,143
136: 137,143,127,135
137: 136,127,128
138: 130,131,139
139: 131,138,132,140
140: 132,133,139,141
141: 134,142,133,140
142: 134,135,141,143
143: 136,135,142
144: 115,116,127,128
145: 56,57,70,71,69
146: 81,95,94,107
147: 54,55,41,42,53
148: 113,114,125,112,124
149: 10,2,3,9
