0: 1,8,7,166
1: 2,8,0,149
2: 1,149
3: 149,4,10,11,12
4: 5,3,12
5: 4,13,12
6: 13
7: 17,18,0,166
8: 1,0,149,166,9,19
9: 19,20,8,149,10
10: 11,21,3,149,9,20
11: 10,21,3,12,22
12: 22,162,3,4,5,11
13: 6,5,162,14
14: 15,25,24,13
15: 14,25,26
16: 27,17,167,28
17: 7,18,167,29,16
18: 7,17,29,166,19,147,30
19: 166,9,20,8,18,30,31
20: 9,19,10,21,31,32
21: 10,11,20,22,32,33
22: 12,23,11,21,33,34
23: 22,162,24,34,35
24: 14,25,23,162,35,36
25: 14,15,24,26,36,37
26: 15,25,37,38
27: 16,41,28
28: 41,16,27,167,42
29: 17,18,167,147,42
30: 31,44,43,18,19,147
31: 30,44,19,20,32,45
32: 33,46,45,20,21,31
33: 32,46,21,22,34,47
34: 35,47,48,23,22,33
35: 34,48,23,24,36,49
36: 37,50,49,25,24,35
37: 36,50,25,26,38,51
38: 165,52,51,26,37
39: 165
40: 41,53,66
41: 40,28,27,42
42: 147,167,29,41,28
43: 30,44,147,56
44: 30,31,43,45,56,57
45: 32,46,31,44,57,58
46: 32,33,45,47,59,58
47: 34,48,33,46,59,60
48: 34,35,47,49,60,61
49: 36,50,35,48,61,62
50: 36,37,49,51,62,63
51: 38,52,37,50,63,64
52: 38,165,51,64,65
53: 66,67,54,40
54: 53,67,68,55
55: 68,69,54
56: 156,57,44,43,69
57: 156,145,56,44,45,71,58
58: 71,59,72,46,45,145,57
59: 72,58,46,47,60,73
60: 61,74,73,47,48,59
61: 60,74,48,49,62,75
62: 63,76,75,50,49,61
63: 62,76,50,51,64,77
64: 77,78,52,51,63,65
65: 79,52,64,78
66: 53,67,40
67: 53,66,54,80,81,170
68: 55,54,81,152,157
69: 55,56,82
70: 161,82,71,168,169
71: 72,58,145,57,70,169
72: 71,59,58,86,73
73: 60,74,59,72,86,87
74: 60,61,73,88,75,87
75: 62,76,61,74,88
76: 62,63,75,77
77: 64,78,63,76,90
78: 64,77,79,65,91,90
79: 65,78,92
80: 94,146,170,67,93
81: 170,67,68,152
82: 70,69,157,83,168
83: 84,168,97,82,96
84: 83,168,97,85,98,110
85: 169,98,99,86,84
86: 72,73,85,99,87
87: 100,101,86,74,73,88
88: 74,75,87,101,89
89: 88,102,101
90: 91,104,103,77,78
91: 104,90,78,92,105
92: 105,79,91
93: 80,94
94: 80,146,93,159
95: 108,155,164,107
96: 83,97,108,109
97: 83,84,96,109,110
98: 85,99,84,110,111,112
99: 85,98,86,100,112
100: 87,101,99,112,113
101: 87,102,100,88,89,113
102: 101,89,114,113,115
103: 104,90,154,158
104: 91,103,90,105,117
105: 92,91,104,117
106: 107,159,118
107: 106,159,95,155,164,118,119
108: 120,95,155,96,109
109: 110,121,96,97,120,108
110: 109,84,97,98,111
111: 148,163,112,98,110
112: 111,148,98,99,100,113
113: 114,102,100,101,112
114: 125,126,113,102,115
115: 144,158,102,114
116: 117,128
117: 116,104,105
118: 119,106,107
119: 118,107,155,129
120: 108,155,109,121,129,130
121: 109,120,130,131
122: 132,133,123,163
123: 148,163,125,133,122,124
124: 134,123,125,133
125: 114,126,123,134,124
126: 125,114,144,134,135
127: 136,151,144,128,137
128: 116,151,127,137
129: 160,120,155,119,130
130: 131,138,120,121,129,160
131: 130,138,139,121,132
132: 133,122,131,139,140
133: 132,122,123,124,140
134: 124,125,126,135,142
135: 136,150,126,144,134
136: 127,135,150,143
137: 128,127
138: 130,131,139,160
139: 131,138,132,140
140: 139,132,133
141: 153
142: 153,134,150
143: 136,150
144: 115,151,126,127,135
145: 57,71,58
146: 80,94,170,159
147: 42,18,29,30,43
148: 111,123,163,112
149: 3,1,2,8,9,10
150: 136,135,142,143
151: 144,128,127
152: 68,81
153: 142,141
154: 103
155: 120,108,95,107,119,129
156: 56,57
157: 68,82
158: 115,103
159: 106,107,94,146,164
160: 129,130,138
161: 70
162: 12,23,13,24
163: 111,148,123,122
164: 95,107,159
165: 38,52,39
166: 19,0,8,7,18
167: 17,29,16,28,42
168: 83,84,82,70,169
169: 85,70,71,168
170: 80,146,81,67
