0: 7,1,8
1: 2,8,0
2: 1,149
3: 149,12,10,11
4: 5,12
5: 4,12,6,13
6: 13,5
7: 0,17
8: 1,9,0
9: 8,20,10
10: 11,21,9,3,20
11: 10,21,3,12,33
12: 4,5,3,11,162
13: 6,5,14,23
14: 15,25,24,23,13
15: 14,25,26
16: 27,167
17: 18,7,167
18: 17,167,166,29
19: 20,166,31,30
20: 19,31,9,10
21: 10,11,32,33
22: 24,23,35
23: 14,24,13,22
24: 14,25,23,22,35,36
25: 14,15,24,26,36,37
26: 165,15,25,38,37
27: 16,28
28: 41,27,40
29: 42,147,18,172
30: 45,44,19,166,31
31: 19,20,32,30
32: 21,31
33: 11,21
34: 35,86,59,47
35: 34,22,24,36,49
36: 49,50,25,24,35,37
37: 38,51,25,26,36,50
38: 51,52,37,26,165
39: 
40: 41,28,66
41: 28,40,53
42: 29,147,43,172,55
43: 42,147,44,55,69,56
44: 45,30,43,56
45: 44,30
46: 59,58,47,48
47: 46,59,34
48: 60,46,59
49: 36,50,35,62
50: 36,49,51,37,62,63
51: 38,52,37,50,64,63
52: 38,51,64,65
53: 66,67,54,41,55
54: 53,67,68,55
55: 69,42,43,53,54
56: 161,156,72,57,43,44,69
57: 161,156,72,56,70,58,145
58: 46,59,70,57,145
59: 46,58,47,34,60,48
60: 71,87,48,59,73
61: 75,89,62,86,74
62: 75,89,61,49,50,63
63: 64,76,50,51,75,62
64: 77,78,63,76,51,52,65
65: 79,52,64,78
66: 53,67,40,80
67: 53,66,54,80
68: 157,69,54,81,96,82
69: 68,55,157,43,56,82
70: 72,57,58,145
71: 60,87,73,84
72: 169,56,70,57,85
73: 99,60,71,87,88
74: 88,86,61
75: 89,62,61,63,76
76: 64,77,63,75,89,90
77: 64,78,76,90
78: 64,77,79,65,91,171
79: 65,78,171
80: 66,67
81: 68,96,152
82: 96,68,157,69,168,83
83: 97,168,96,82
84: 98,71,85,97
85: 97,168,72,84
86: 34,74,61
87: 60,71,88,73
88: 74,87,73
89: 75,62,61,76
90: 91,103,77,76,154
91: 104,90,78,105
92: 105,171
93: 159,94
94: 146,93
95: 120,108
96: 152,164,82,68,81,83
97: 85,83,98,84,173
98: 99,111,84,97
99: 98,73,111,100,112
100: 101,99,112,113
101: 100
102: 144,115
103: 104,90,154
104: 91,103,105,117,116
105: 92,171,91,104,117
106: 107,118
107: 106,118,119
108: 120,95,109
109: 121,120,108,130
110: 111,173
111: 98,99,173,112,110
112: 148,99,111,100,125,113
113: 125,114,100,112
114: 125,113,126
115: 144,158,151,102
116: 117,104
117: 116,104,105
118: 119,106,107
119: 118,107,129
120: 108,95,109,130
121: 109,163,130,131,122
122: 132,133,163,121,123,131
123: 148,125,133,122,124
124: 134,126,123,125,133
125: 114,113,112,148,123,124,126
126: 134,124,125,114,174
127: 136,174,151
128: 
129: 119,160
130: 131,120,109,121,155
131: 130,138,121,132,122
132: 133,122,131,139,140
133: 132,122,123,124
134: 124,126,135,174,142
135: 134,174,142,150
136: 127,143,150
137: 
138: 131,155,139
139: 138,132,140
140: 132,139
141: 
142: 153,134,135,150
143: 150,136
144: 115,102
145: 58,70,57
146: 94
147: 42,29,43
148: 112,123,125
149: 3,2
150: 143,135,136,142
151: 115,127
152: 96,81
153: 142
154: 103,90
155: 130,138
156: 161,56,57
157: 68,69,82
158: 115
159: 170,93
160: 129
161: 156,56,57
162: 12
163: 121,122
164: 96
165: 26,38
166: 19,18,30
167: 16,18,17,172
168: 85,83,82
169: 72
170: 159
171: 92,105,78,79
172: 167,42,29
173: 97,111,110
174: 127,134,126,135
