0: 1,7,8,166
1: 2,0,149,8,9
2: 1,149
3: 149,4,10,11
4: 5,3,11,12
5: 4,6,12,13
6: 5,13,14
7: 17,18,0,166
8: 9,19,166,0,1
9: 8,19,20,1,149,10
10: 11,21,3,149,9,20
11: 10,21,3,4,12,22
12: 13,22,162,4,5,11
13: 12,162,5,6,14,24
14: 15,25,24,6,13
15: 14,25,26
16: 17,27,28
17: 7,18,16,28,29
18: 7,17,19,166,29,43,30
19: 8,9,20,166,18,30,31
20: 9,19,10,21,31,32
21: 10,11,20,22,32,33
22: 12,23,162,11,21,33,34
23: 22,162,24,34,35
24: 14,25,13,23,162,35,36
25: 14,15,24,26,36,37
26: 15,25,37,38
27: 41,16,28
28: 29,42,16,17,27,41
29: 28,42,43,147,17,18,30
30: 31,44,18,19,29,43
31: 30,44,19,20,32,45
32: 33,46,45,20,21,31
33: 32,46,21,22,34,47
34: 35,47,48,22,23,33
35: 34,48,23,24,36,49
36: 37,50,49,25,24,35
37: 36,50,25,26,38,51
38: 165,52,51,26,37
39: 165
40: 41,53
41: 27,40,28,42,53
42: 28,29,147,41
43: 29,147,18,30,44,56
44: 30,31,57,43,45,56
45: 32,46,31,44,57,58
46: 32,33,45,47,59,58
47: 34,48,33,46,59,60
48: 34,35,47,49,60,61
49: 36,50,35,48,61,62
50: 36,37,49,51,62,63
51: 38,52,37,50,63,64
52: 38,165,51,64,65
53: 66,67,40,41,54
54: 68,55,53,67
55: 68,69,54,147,56
56: 156,43,147,44,57,55,69
57: 44,45,156,145,56,58
58: 59,72,57,46,45,145
59: 72,58,46,47,60,73
60: 61,74,73,47,48,59
61: 60,74,48,49,62,75
62: 63,76,75,50,49,61
63: 62,76,50,51,64,77
64: 65,78,77,52,51,63
65: 64,78,52,79
66: 53,67,80
67: 53,66,54,80,81
68: 55,69,54,157
69: 68,55,56,82
70: 83,84,82,161,71,85
71: 72,161,145,70,85,86
72: 71,59,58,145,73,86
73: 60,74,59,72,86,87
74: 60,61,73,88,75,87
75: 62,76,61,74,88
76: 62,63,75,154
77: 64,78,154,63,90
78: 64,65,77,79,91,90
79: 65,78,92
80: 94,81,66,67,93
81: 80,146,67,152
82: 83,70,69,161,157
83: 84,82,97,70,157,96
84: 83,97,70,85,98,110
85: 86,98,99,71,84,70
86: 85,99,71,72,73,87,100
87: 100,101,74,73,88,86
88: 74,75,87,101,89
89: 158,88,101,102
90: 91,104,103,78,77,154
91: 104,90,78,92,105
92: 105,79,91
93: 80,94
94: 80,146,93,159
95: 108,155,164,107
96: 157,83,97,108,109
97: 83,84,96,109,110,163
98: 85,99,84,110,111,112
99: 85,86,98,100,112
100: 87,113,101,86,99
101: 87,113,100,102,88,89
102: 113,101,89,114,115
103: 104,90,154,158,151
104: 91,103,90,105,117
105: 92,91,104,117
106: 118,159,107
107: 106,118,159,95,155,119
108: 120,95,155,164,96,109
109: 121,163,96,97,120,108
110: 163,84,97,98,111
111: 122,123,112,148,98,110,163
112: 111,148,98,99
113: 100,101,102,114
114: 125,113,102,115,126
115: 144,126,151,102,114
116: 117,128,144,151
117: 116,104,105
118: 106,107,119
119: 129,118,107,155
120: 108,155,109,121,129,130
121: 109,163,120,122,130,131
122: 111,123,121,163,131,132
123: 111,122,148,124,132,133
124: 125,123,148,133,153
125: 114,124,126,134,135
126: 115,144,125,114,127,135
127: 136,135,144,126
128: 116,144,137
129: 160,119,120,155,130
130: 131,138,120,121,129,160
131: 130,138,139,121,122,132
132: 133,140,122,123,131,139
133: 132,140,141,123,124,153
134: 153,142,125,135,150
135: 136,127,150,125,126,134
136: 127,135,150,143
137: 128,136,127
138: 130,131,139,160
139: 131,138,132,140
140: 132,133,141,139
141: 133,140,153,142
142: 134,141,150
143: 136,150
144: 115,126,151,128,116,127
145: 156,57,71,72,58
146: 94,81,152,159,164
147: 29,42,43,55,56
148: 111,123,112,124
149: 3,1,2,9,10
150: 136,135,134,142,143
151: 115,144,103,116
152: 157,146,81,164
153: 134,124,133,141
154: 77,76,158,103,90
155: 120,108,95,107,129,119
156: 161,145,56,57
157: 152,96,68,83,82
158: 89,154,103
159: 106,107,94,146
160: 129,130,138
161: 156,71,82,70
162: 12,13,22,23,24
163: 109,110,121,97,111,122
164: 108,95,146,152
165: 38,52,39
166: 8,19,0,7,18
