0: 7,1,8
1: 2,8,0
2: 1,149
3: 149,4,12,10,11
4: 5,12,3,149
5: 4,12,13
6: 13
7: 0,17
8: 1,0,9
9: 166,19,8,10,20
10: 11,21,20,3,149,9
11: 10,21,3,12,22,162
12: 4,5,3,11,162
13: 6,5,14
14: 15,25,24,13
15: 14,25,26
16: 27,17,167,28
17: 29,167,7,16
18: 29,166,19,30
19: 166,9,18,20,31,30
20: 10,21,9,19,31,32
21: 10,11,20,22,32,33
22: 23,162,11,21,33,34
23: 22,162,24,34,35
24: 14,25,23,35,36
25: 14,15,24,26,36,37
26: 15,25,37,38
27: 16,41,28
28: 41,16,27,167,42
29: 17,18,167,42
30: 44,31,18,166,19
31: 44,30,19,20,32,45
32: 33,46,45,21,20,31
33: 32,46,21,22,34,47
34: 35,47,48,22,23,33
35: 34,48,23,24,36,49
36: 37,50,49,25,24,35
37: 36,50,25,26,38,51
38: 165,52,51,26,37
39: 165
40: 41,53,66
41: 40,28,27
42: 147,29,167,28
43: 55,69,147,56
44: 31,30,45,56,57
45: 32,46,44,31,57,58
46: 32,33,45,47,59,58
47: 34,48,33,46,59,60
48: 34,35,47,49,60,61
49: 36,50,35,48,61,62
50: 36,37,49,51,62,63
51: 38,52,37,50,63,64
52: 38,165,51,64,65
53: 66,67,54,40
54: 53,67,68,55
55: 68,69,43,147,54
56: 161,156,57,44,69,43
57: 156,56,44,45,145,58,71
58: 145,59,72,71,46,45,57
59: 72,58,46,47,60,73
60: 61,74,73,47,48,59
61: 60,74,48,49,62,75
62: 63,76,75,50,49,61
63: 62,76,50,51,64,77
64: 77,78,52,51,63,65
65: 79,52,64,78
66: 53,67,40,80
67: 53,66,54,80,170
68: 55,69,157,54,81
69: 68,55,157,43,56,82
70: 161,169,71,168,82
71: 145,72,58,70,57,169
72: 59,58,71,73,86
73: 60,74,59,72,86,87
74: 60,61,73,88,75,87
75: 62,76,61,74,88
76: 62,63,75,77
77: 64,78,63,76,90
78: 64,77,79,65,91,90
79: 65,78,91,92
80: 170,66,67
81: 152,68,170
82: 83,168,69,157,70
83: 84,168,97,82,96
84: 83,168,97,85,98,110
85: 99,98,86,169,84
86: 85,99,72,73,87
87: 100,101,74,73,88,86
88: 74,75,87,101,89
89: 88,102,101
90: 91,104,103,77,78
91: 104,90,78,79,92,105
92: 105,79,91
93: 
94: 106,146
95: 108,164,155
96: 83,97,108
97: 83,84,96,108,109,110
98: 85,99,84,110,111,112
99: 85,98,86,100,112
100: 87,101,99,112,113
101: 87,102,100,88,89
102: 101,89,114,113,115
103: 104,90,154
104: 91,103,90,105,117
105: 92,91,104,117
106: 107,146,94,118
107: 106,118,119
108: 120,95,96,97,109
109: 110,121,163,97,120,108
110: 109,163,84,97,98,111
111: 148,123,112,98,110
112: 111,148,99,98,100,113
113: 125,114,102,100,112
114: 125,113,102,115
115: 158,151,102,114
116: 117,128
117: 116,104,105
118: 119,106,107
119: 118,107,155
120: 108,109,121,155,130
121: 109,163,120,130,131
122: 132,133,163,131
123: 111,148,125,133,124
124: 134,126,153,123,133
125: 114,113,123,126
126: 134,124,125
127: 136,144,128,137
128: 116,127,137
129: 160,155,130
130: 131,138,120,121,129,160
131: 130,138,121,132,122
132: 133,122,131,139,140
133: 132,122,123,124
134: 124,126,153,135,142
135: 136,144,134,150
136: 127,135,144,143,150
137: 128,127
138: 130,131,160,139
139: 138,132,140
140: 141,132,139
141: 140
142: 134,153,150
143: 150,136
144: 136,127,135,151
145: 58,71,57
146: 106,159,94
147: 42,55,43
148: 111,123,112
149: 3,2,4,10
150: 143,136,135,142
151: 115,144
152: 81
153: 134,124,142
154: 103
155: 129,120,95,119
156: 161,56,57
157: 68,69,82
158: 115
159: 146,164
160: 129,130,138
161: 156,70,56
162: 22,23,12,11
163: 109,110,121,122
164: 95,159
165: 38,52,39
166: 9,19,18,30
167: 29,17,16,28,42
168: 83,84,82,70,169
169: 70,71,168,85
170: 80,67,81
