0: 7,1,8
1: 2,8,0
2: 1
3: 4,12,10,11
4: 5,12,149,3
5: 4,12,13
6: 13
7: 0,17
8: 1,0,9
9: 19,166,8,10,20
10: 11,21,20,3,9
11: 10,21,3,12,22
12: 4,5,3,11,162
13: 6,5,14
14: 15,25,24,13
15: 14,25,26
16: 27,167
17: 18,7,167
18: 17,166,29
19: 9,166,20,31,30
20: 10,21,19,9,31,32
21: 10,11,20,22,32,33
22: 23,162,11,21,33,34
23: 22,162,24,34,35
24: 14,25,23,35,36
25: 14,15,24,26,36,37
26: 15,25,37,38
27: 16,28
28: 41,172,27
29: 42,147,18
30: 44,31,19,147
31: 44,30,19,20,32,45
32: 33,46,45,21,20,31
33: 32,46,21,22,34,47
34: 35,47,48,22,23,33
35: 34,48,23,24,36,49
36: 37,50,49,25,24,35
37: 36,50,25,26,38,51
38: 51,165,26,37
39: 165
40: 41,53,66
41: 40,28,172,53
42: 29,43,172
43: 42,147,55,69,56
44: 31,30,45,56,57
45: 32,46,44,31,57,58
46: 32,33,45,47,59,58
47: 34,48,33,46,59,60
48: 34,35,47,49,60,61
49: 36,50,35,48,61,62
50: 36,37,49,51,62,63
51: 38,52,37,50,63,64
52: 51,64,65
53: 66,67,54,41,40
54: 53,67,68,55
55: 68,69,43,54
56: 161,156,70,57,169,43,44,69
57: 156,56,44,45,145,58,71
58: 145,59,72,71,46,45,57
59: 72,58,46,47,60,73
60: 61,74,73,47,48,59
61: 60,74,48,49,62,75
62: 63,76,75,50,49,61
63: 62,76,50,51,64,77
64: 77,78,51,52,63,65
65: 79,52,64,78
66: 53,67,80,40
67: 53,66,54,80,170
68: 55,69,157,54,81,82
69: 68,55,43,70,56,169,82
70: 161,56,169,69,82
71: 145,72,58,57
72: 59,58,71,86,73
73: 60,74,59,72,86,87
74: 60,61,73,88,75,87
75: 62,76,61,74,88
76: 62,63,75,77
77: 64,78,63,76,90
78: 64,77,79,65,91,90,171
79: 65,78,92,171
80: 66,67,159,170
81: 152,68,164,170
82: 68,69,157,70,169,83,168
83: 84,168,96,82,97
84: 83,168,85,98,173,97
85: 99,98,84
86: 72,73,99,87
87: 100,101,86,74,73,88
88: 74,75,87,101,89
89: 115,88,102,101
90: 91,103,77,78
91: 104,90,78,105,171
92: 105,171,79
93: 159,146
94: 146
95: 120,108
96: 83,108,97
97: 109,110,173,96,83,84
98: 85,99,84,173,111,112
99: 85,98,86,100,112
100: 87,101,99,112,113
101: 87,102,100,88,89
102: 101,89,115,114,113,144
103: 104,90,154
104: 91,103,105,117,116
105: 92,171,91,104,117
106: 107,118
107: 106,118,119
108: 120,95,96,109
109: 110,121,97,120,108
110: 109,163,173,97
111: 148,123,112,98,173
112: 111,148,99,98,100,113
113: 125,114,102,100,112
114: 125,113,102,144,126
115: 89,102,144,158
116: 117,104
117: 116,104,105
118: 119,106,107
119: 118,107
120: 108,95,109,121,130
121: 109,163,120,130,131,122
122: 132,133,121,131
123: 111,125,133,124
124: 134,126,123,133
125: 114,113,123,126
126: 134,124,125,114
127: 136,174,137,151
128: 137,151
129: 155,160
130: 131,138,120,121,155
131: 130,138,121,132,122,139
132: 133,122,131,139,140
133: 132,122,123,124
134: 124,126,135
135: 134,174,150
136: 127,174,137,143,150
137: 128,151,136,127
138: 130,131,155,139
139: 131,138,132,140
140: 153,132,139
141: 153
142: 150
143: 150,136
144: 102,115,114
145: 58,71,57
146: 93,159,94
147: 29,43,30
148: 111,112
149: 4
150: 143,135,136,142
151: 137,128,127
152: 81,164
153: 141,140
154: 103
155: 129,130,138
156: 56,57
157: 68,82
158: 115
159: 93,146,80
160: 129
161: 70,56,169
162: 22,23,12
163: 110,121
164: 170,152,81
165: 38,39
166: 19,9,18
167: 16,17
168: 83,84,169,82
169: 161,70,56,69,82,168
170: 164,67,80,81
171: 92,105,78,79,91
172: 41,28,42
173: 110,97,84,98,111
174: 136,127,135
