0: 7,1,8
1: 2,8,9,0
2: 1,9
3: 11
4: 5,12,149
5: 4,12,13
6: 13
7: 0,17
8: 1,9,0,19,20
9: 1,2,8,20
10: 31,32,46
11: 3,33
12: 4,5,33,162
13: 6,5,14,23
14: 24,25,23,13,15
15: 26,14,25
16: 27
17: 18,7
18: 17,166,30,29
19: 31,30,20,8,166
20: 19,31,8,9
21: 33,47
22: 47,35
23: 14,24,13
24: 14,25,23,36
25: 14,24,26,15,36,37
26: 15,25,38,37
27: 16,28,167
28: 41,167,27,40
29: 55,147,172,18,57
30: 19,31,18,166,45,57
31: 19,30,32,20,10
32: 31,10,45
33: 162,21,11,12
34: 86,47,59,48,74
35: 49,36,86,22
36: 35,24,25,37
37: 38,51,25,26,50,36
38: 51,52,37,26
39: 52
40: 41,28,66
41: 28,42,167,40,53,66
42: 41,172,53
43: 68,69,54
44: 69,55,57,56
45: 57,30,32,56
46: 10
47: 34,22,21
48: 74,88,59,34,60,87
49: 35,50,86,61
50: 49,51,37
51: 38,52,37,50,64
52: 38,51,39,64,65
53: 66,67,54,41,42
54: 53,67,68,43
55: 29,147,172,57,44
56: 161,156,45,69,44
57: 45,30,55,29,147,44
58: 
59: 34,60,48
60: 71,87,59,48
61: 75,86,49,74,88
62: 64,77,63
63: 75,76,62
64: 77,62,51,52,65
65: 79,78,52,64,77
66: 53,67,40,41,80
67: 53,66,54,80
68: 43,157,82,69,54,81,96,152
69: 68,43,82,44,72,56
70: 84,71
71: 60,87,70
72: 169,84,82,69
73: 99,87,100
74: 48,88,86,34,61
75: 63,61,76,88,89
76: 75,63,89,90
77: 64,62,65,78,90
78: 79,65,77,171
79: 65,78
80: 66,67
81: 68,96,152
82: 68,157,69,169,72
83: 109,121,111,173
84: 169,72,70,85,97
85: 168,97,84
86: 34,35,49,74,61
87: 60,71,48,73
88: 48,74,75,61
89: 75,76,101
90: 91,103,76,77,154
91: 104,90,105,171
92: 105,171
93: 159
94: 146,159
95: 107
96: 152,164,108,68,81
97: 85,173,84,98
98: 99,97,112
99: 98,73,100,113,112
100: 113,101,73,99
101: 100,89,115
102: 125,114,113
103: 104,90,154,115
104: 91,103,105,117,116
105: 92,171,91,104,117
106: 107,146,118
107: 106,95,118,119
108: 96
109: 121,83,111,120,155,130,131
110: 148,112,111
111: 109,121,83,110,163
112: 110,98,99,113
113: 100,99,112,102
114: 102,144
115: 101,103,158
116: 117,104,151
117: 116,104,105
118: 119,106,107
119: 118,107,129
120: 109,155
121: 109,83,111,163,130,131,122
122: 132,133,123,121,131
123: 133,122,125,124
124: 134,126,133,123
125: 102,148,123
126: 134,124
127: 136,174
128: 
129: 119,160
130: 131,138,109,121,155
131: 130,138,109,121,132,122
132: 133,122,131,138,139,140
133: 132,122,123,124
134: 124,126,135,142
135: 134,142,150
136: 127,143,150
137: 
138: 130,131,132,139
139: 138,132,140
140: 132,139
141: 153
142: 134,135,150
143: 150,136
144: 114
145: 
146: 94,159,106
147: 55,29,57
148: 110,125
149: 4
150: 143,135,136,142
151: 116
152: 96,68,81
153: 141
154: 103,90
155: 120,109,130
156: 161,56
157: 68,82
158: 115
159: 93,94,146
160: 129
161: 156,56
162: 33,12
163: 121,111
164: 96
165: 
166: 18,19,30
167: 41,28,27
168: 85,169
169: 72,84,82,168
170: 
171: 92,105,78,91
172: 55,29,42
173: 97,83
174: 127
