0: 1,8,7
1: 2,8,0
2: 1
3: 4,12,10,11
4: 5,12,3,149
5: 4,12,13
6: 13
7: 0,17
8: 1,0,9
9: 19,8,10,20
10: 11,21,20,3,9
11: 10,21,3,12,22
12: 4,5,3,11,22
13: 6,5,14
14: 15,25,24,13
15: 14,25,26
16: 27
17: 18,7
18: 17,166,167,29
19: 9,166,20,30,31
20: 10,21,19,9,31,32
21: 10,11,20,32,33
22: 23,162,12,11,33,34
23: 22,162,24,34,35
24: 14,25,23,35,36
25: 14,15,24,26,36,37
26: 15,25,37,38
27: 16,28
28: 41,172,27,167
29: 42,43,147,18,30,44
30: 31,44,166,19,29
31: 30,44,45,19,20,32,46
32: 47,46,33,21,20,31,45
33: 47,32,21,22,34
34: 35,22,23,33
35: 34,23,24,36,49
36: 37,50,49,25,24,35
37: 36,50,25,26,38,51
38: 51,52,26,37
39: 
40: 41,53,66
41: 40,28,172,53
42: 29,43,172,55
43: 42,29,147,44,55,69,56
44: 30,31,29,43,147
45: 31,57,32,46
46: 47,32,31,57,45
47: 32,46,33,59
48: 59,60,74,86
49: 36,50,35,86,62
50: 36,37,49,51,62,63
51: 38,52,37,50,62,64,63
52: 38,51,64,65
53: 66,67,54,41,40
54: 53,67,68,55
55: 69,42,43,54
56: 43,69
57: 45,46,161,156,58,145
58: 60,145,71,57
59: 48,47,60
60: 58,48,59,74
61: 75,62,86
62: 75,61,76,50,49,51,63
63: 64,77,50,51,75,76,62
64: 77,78,63,51,52,65
65: 79,52,64,78
66: 53,67,40,80
67: 53,66,54,80
68: 69,157,54,81,82
69: 68,55,43,56,82
70: 169,71,85,72
71: 58,145,70,72,73
72: 84,85,70,71,73
73: 71,72,99
74: 87,48,60,99
75: 61,76,89,62,63
76: 75,89,62,77,63,90
77: 64,78,63,76,90
78: 64,77,79,65,91,90,171
79: 65,78,92,171
80: 66,67
81: 68,152
82: 68,69,157,83,84,168,85
83: 84,168,97,85,96,82
84: 83,168,97,85,72,82
85: 83,84,168,72,169,70,82
86: 48,49,61
87: 74,88,99
88: 100,99,102,87,101
89: 75,76,154,90
90: 91,103,76,89,77,78,154
91: 104,90,78,105,171
92: 105,171,79
93: 159,94,146
94: 146,93
95: 120,108
96: 164,83,108
97: 83,84,173,110
98: 112,173,111
99: 88,100,74,87,73
100: 88,99,102,113
101: 115,88,102
102: 88,100,101,115,114,113,144
103: 104,90,154
104: 91,103,105,117,116
105: 92,171,91,104,117
106: 107,118
107: 106,118,119
108: 120,95,96,109
109: 110,121,120,108
110: 109,121,163,97
111: 148,123,98,122
112: 98
113: 125,114,100,102
114: 125,113,102,126
115: 101,102,144,158
116: 117,151,104
117: 116,104,105
118: 119,106,107
119: 118,107
120: 108,95,109,130
121: 109,110,163,130,131,122
122: 132,133,121,111,123,131
123: 111,125,133,122,124
124: 134,126,123,125,133
125: 114,113,123,124,126
126: 134,124,125,114
127: 136,174
128: 151
129: 155,160
130: 131,138,120,121
131: 130,138,121,132,122
132: 133,122,131,139,140
133: 132,122,123,124
134: 124,126,135
135: 134,174,142,150
136: 127,174,143,150
137: 
138: 130,131,139
139: 138,132,140
140: 132,139
141: 153
142: 153,135,150
143: 150,136
144: 102,115
145: 58,71,57
146: 94,93,159
147: 29,43,44
148: 111
149: 4
150: 143,135,136,142
151: 116,128
152: 81
153: 142,141
154: 89,103,90
155: 129
156: 161,57
157: 68,82
158: 115
159: 93,146
160: 129
161: 156,57
162: 22,23
163: 110,121
164: 96
165: 
166: 18,19,30
167: 18,28,172
168: 83,84,85,82
169: 70,85
170: 
171: 92,105,78,79,91
172: 41,28,167,42
173: 98,97
174: 136,127,135
