0: 1,7,8
1: 2,0,149,8,9
2: 1,3,149
3: 149,2,4,10,11
4: 5,3,11,12
5: 4,6,12,13
6: 5,13,14
7: 17,18,0,8
8: 9,19,0,1,7,18
9: 8,19,20,1,149,10
10: 11,21,3,149,9,20
11: 10,21,3,4,12,22
12: 13,22,23,4,5,11
13: 12,23,5,6,14,24
14: 15,25,24,6,13
15: 14,25,26
16: 17,27,28
17: 7,18,16,28,29
18: 7,17,8,19,29,30
19: 8,9,20,18,30,31
20: 9,19,10,21,31,32
21: 10,11,20,22,32,33
22: 12,23,11,21,33,34
23: 12,13,22,24,34,35
24: 14,25,13,23,35,36
25: 14,15,24,26,36,37
26: 15,25,37,38
27: 40,41,16,28
28: 29,42,16,17,27,41
29: 28,42,43,17,18,30
30: 31,44,18,19,29,43
31: 30,44,45,156,19,20,32
32: 33,46,20,21,31,45
33: 32,46,21,22,34,47
34: 35,47,48,22,23,33
35: 34,48,23,24,36,49
36: 37,50,49,25,24,35
37: 36,50,25,26,38,51
38: 39,52,51,26,37
39: 38,52
40: 27,41,53
41: 27,40,28,42,53,147
42: 28,29,43,41,147
43: 29,42,30,44,56
44: 30,31,156,43,56
45: 31,156,32,46,57,58
46: 32,33,45,47,58,59
47: 34,48,33,46,59,60
48: 34,35,47,49,60,61
49: 36,50,35,48,61,62
50: 36,37,49,51,62,63
51: 38,52,37,50,63,64
52: 38,39,51,64,65
53: 66,67,40,41,54,147
54: 55,68,147,53,67
55: 54,69,68,147,56
56: 57,145,43,44,156,55,69
57: 56,145,71,45,156,58
58: 59,72,45,46,57,71
59: 58,72,73,46,47,60
60: 61,74,47,48,59,73
61: 60,74,48,49,62,75
62: 63,76,75,50,49,61
63: 62,76,50,51,64,77
64: 65,78,77,52,51,63
65: 64,78,52,79
66: 53,67,80
67: 53,66,54,68,80,81
68: 54,55,69,67,81,82
69: 55,68,56,145,70,82,83
70: 145,71,69,83,84,85
71: 57,145,70,58,72,85
72: 58,59,73,71,85,86
73: 59,72,60,74,86,87
74: 60,61,73,75,87,88
75: 62,76,61,74,88,89
76: 62,63,75,158,77
77: 64,78,63,76,158,90,91
78: 64,65,77,79,91,92
79: 65,78,92
80: 93,94,66,67
81: 82,146,157,67,68
82: 81,157,69,68,83,96
83: 84,96,97,69,70,82
84: 83,97,70,85,98
85: 86,99,70,71,72,84
86: 85,99,72,73,87,100
87: 88,100,101,73,74,86
88: 87,101,74,75,89,102
89: 103,102,154,75,88
90: 103,154,158,77,91,104
91: 92,105,104,78,77,90
92: 91,105,78,79
93: 80,94
94: 80,93,146,106
95: 146,152,107,108
96: 83,97,82,152,157,108,109
97: 83,84,96,98,109,110
98: 99,84,97,110,111
99: 85,86,98,100,112
100: 87,101,113,86,99,112
101: 87,88,100,113,102,114
102: 89,103,151,88,101,115
103: 89,90,102,151,154,104,116
104: 91,105,90,103,116,117
105: 91,92,104,117
106: 118,94,107
107: 108,119,146,95,106,118
108: 107,155,95,152,96,109,120
109: 110,121,120,96,97,108
110: 109,121,97,98,111,122
111: 112,123,122,98,110
112: 111,99,100,113,148
113: 100,101,112,114,148
114: 125,148,101,113,115,126
115: 126,144,102,151,114
116: 144,103,151,104,117,128
117: 128,105,104,116
118: 106,107,119
119: 107,155,118
120: 109,121,108,155,129,130
121: 109,110,120,122,130,131
122: 111,123,110,121,131,132
123: 111,124,122,132,133
124: 123,125,148,133,153
125: 114,148,124,126,134,135,153
126: 115,127,144,125,114,135
127: 126,144,128,135,136,137
128: 117,116,127,144,137
129: 155,120,130
130: 131,138,121,120,129
131: 130,138,139,121,122,132
132: 133,140,123,122,131,139
133: 132,140,141,123,124,153
134: 135,150,142,153,125,141
135: 134,150,125,127,126,136
136: 137,143,127,135,150
137: 136,127,128
138: 130,131,139
139: 131,138,132,140
140: 132,133,141,139
141: 133,140,134,142,153
142: 134,150,141
143: 136,150
144: 115,116,127,126,151,128
145: 56,57,70,71,69
146: 81,95,94,107
147: 54,55,41,42,53
148: 125,114,113,112,124
149: 3,1,2,9,10
150: 134,135,142,136,143
151: 103,102,115,116,144
152: 95,157,96,108
153: 134,124,125,133,141
154: 89,90,103,158
155: 108,119,120,129
156: 31,44,45,56,57
157: 81,82,152,96
158: 76,77,90,154
