0: 7,1,8
1: 9,8,0
2: 149,9
3: 4,5,12,11
4: 5,3
5: 4,12,3,13
6: 13,14,23
7: 0,18,17,166,30
8: 1,9,20,0
9: 1,8,2,149
10: 46,19
11: 149,3
12: 5,3,162
13: 6,23,5
14: 6,23,15,24,25
15: 14,25,165
16: 27
17: 18,42,7
18: 17,166,42,30,7,29
19: 31,32,10
20: 8,31
21: 47,33
22: 33,36
23: 6,13,14,24
24: 14,23,25
25: 26,37,14,15,24
26: 37,25,165,38
27: 16,28
28: 40,27,41,167
29: 147,172,18,42
30: 18,166,7
31: 20,19
32: 45,19
33: 22,21
34: 60,48,59
35: 47,49,86
36: 22,37
37: 26,25,36,51
38: 51,26,39,52
39: 52,38
40: 28,41,66
41: 167,40,28,66,53
42: 18,17,29
43: 44,54
44: 43,55,56,82
45: 57,32,55
46: 59,10
47: 35,21
48: 87,34
49: 35,63,61
50: 51,103
51: 38,50,37
52: 39,38,64,65
53: 54,67,41,66
54: 53,170,43,69
55: 45,57,44,56
56: 161,156,72,82,57,55,44
57: 45,55,56
58: 
59: 46,34
60: 34
61: 63,49,74,86
62: 77,103,64,65,78
63: 61,49,103
64: 52,62,65,78
65: 79,78,64,52,62
66: 80,40,41,53,67
67: 53,170,80,66
68: 152,164,108,120
69: 54,170,108
70: 
71: 
72: 161,56,82
73: 
74: 61
75: 103
76: 154,101,91
77: 62,103,78,90
78: 79,65,171,64,77,62
79: 65,78,171
80: 66,67
81: 
82: 72,56,44
83: 109,155,96,97
84: 
85: 169,168
86: 35,61
87: 48
88: 
89: 
90: 104,91,77
91: 90,76,115
92: 105
93: 159
94: 146
95: 129,119
96: 108,120,83
97: 83
98: 
99: 
100: 
101: 76,114
102: 114
103: 77,62,50,63,75
104: 90,105,115,175,116,117
105: 92,104,117
106: 107,146,118
107: 106,118
108: 96,69,68
109: 155,83
110: 131,121,123
111: 112,125
112: 113,111
113: 112
114: 126,102,101
115: 158,104,91,175
116: 175,104,117
117: 104,105,116
118: 119,106,107
119: 118,129,95
120: 96,164,68
121: 155,130,110
122: 133,123,134,124
123: 122,110
124: 174,125,122
125: 148,111,124
126: 144,114
127: 136
128: 
129: 95,119,160
130: 155,121
131: 138,110,132
132: 131,139,140
133: 122,134,140
134: 135,133,122,142
135: 134,174
136: 127,143,150
137: 
138: 131,139
139: 138,132,140
140: 153,133,132,139
141: 153
142: 134,150
143: 150,136
144: 126
145: 
146: 94,106
147: 29
148: 125
149: 2,9,11
150: 143,136,142
151: 
152: 68
153: 140,141
154: 76
155: 109,83,121,130
156: 161,56
157: 
158: 115
159: 93
160: 129
161: 156,72,56
162: 12
163: 
164: 68,120
165: 26,15
166: 18,30,7
167: 41,28
168: 85
169: 85
170: 54,67,69
171: 79,78
172: 29
173: 
174: 135,124
175: 116,104,115
